epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1133.33,1.24587,0.99061,1.09994,0.81235,0.67512,0.74568,0.4344,1.47807,1.17701,1.28344,0.000540037,0.000540037,0.000540037
43,1159.03,1.21761,0.9611,1.09289,0.79972,0.67872,0.73821,0.41495,1.52796,1.19712,1.29928,0.000531038,0.000531038,0.000531038
44,1185.05,1.22173,0.93779,1.09656,0.76648,0.66991,0.72953,0.41713,1.50287,1.16093,1.27285,0.000522039,0.000522039,0.000522039
45,1210.7,1.22132,0.93061,1.09539,0.74763,0.70284,0.74072,0.42789,1.49648,1.14018,1.2761,0.00051304,0.00051304,0.00051304
46,1237,1.23053,0.93527,1.09103,0.76749,0.67625,0.72609,0.41663,1.53437,1.19812,1.30144,0.00050404,0.00050404,0.00050404
47,1262.3,1.1801,0.91623,1.06499,0.80986,0.68409,0.74131,0.41476,1.51683,1.17012,1.29299,0.000495041,0.000495041,0.000495041
48,1287.89,1.1953,0.90699,1.08803,0.75185,0.73228,0.73668,0.43003,1.49876,1.15507,1.27441,0.000486042,0.000486042,0.000486042
49,1313.15,1.19673,0.88891,1.07328,0.77564,0.69118,0.74459,0.43466,1.47785,1.15076,1.26391,0.000477043,0.000477043,0.000477043
50,1338.9,1.20494,0.89303,1.08495,0.76436,0.69463,0.7448,0.42855,1.50078,1.15095,1.27001,0.000468044,0.000468044,0.000468044
51,1364.85,1.18033,0.90475,1.08037,0.80923,0.6852,0.75351,0.44187,1.47177,1.13962,1.26846,0.000459045,0.000459045,0.000459045
52,1390.63,1.18976,0.90714,1.08209,0.7703,0.68777,0.73212,0.42178,1.48524,1.13497,1.26949,0.000450046,0.000450046,0.000450046
53,1416.81,1.19233,0.87237,1.06909,0.7974,0.68286,0.74364,0.4407,1.4815,1.12232,1.2682,0.000441047,0.000441047,0.000441047
54,1442.42,1.17475,0.87681,1.06044,0.79793,0.69341,0.74605,0.43226,1.49559,1.09857,1.27642,0.000432048,0.000432048,0.000432048
55,1467.84,1.17525,0.87686,1.06992,0.81388,0.69797,0.76251,0.43112,1.4933,1.10321,1.28932,0.000423049,0.000423049,0.000423049
56,1493.77,1.16461,0.8516,1.06464,0.82531,0.69552,0.75013,0.43723,1.48697,1.08341,1.28226,0.000414049,0.000414049,0.000414049
57,1519.79,1.15438,0.85249,1.06918,0.81308,0.69218,0.75588,0.44393,1.46044,1.05748,1.27436,0.00040505,0.00040505,0.00040505
58,1545.24,1.17355,0.8454,1.06316,0.81969,0.70156,0.75526,0.43646,1.4872,1.05624,1.28147,0.000396051,0.000396051,0.000396051
59,1571.32,1.15939,0.83925,1.0561,0.80643,0.69399,0.75548,0.4519,1.48494,1.06549,1.27808,0.000387052,0.000387052,0.000387052
60,1596.62,1.15295,0.83067,1.06232,0.8163,0.69149,0.74396,0.43817,1.48486,1.06238,1.27642,0.000378053,0.000378053,0.000378053
61,1622.09,1.11839,0.81809,1.04801,0.77587,0.70729,0.74933,0.44185,1.46901,1.07147,1.27385,0.000369054,0.000369054,0.000369054
62,1648.16,1.11938,0.81514,1.05313,0.81457,0.65291,0.73724,0.43307,1.50194,1.09106,1.28219,0.000360055,0.000360055,0.000360055
63,1673.59,1.12667,0.81815,1.04055,0.78342,0.68423,0.74213,0.43549,1.47838,1.08297,1.26779,0.000351056,0.000351056,0.000351056
64,1698.84,1.13172,0.81362,1.0569,0.82498,0.68972,0.75304,0.44952,1.47293,1.04862,1.27626,0.000342057,0.000342057,0.000342057
65,1724.42,1.08919,0.787,1.03453,0.81335,0.70523,0.75041,0.44102,1.48273,1.06636,1.28391,0.000333058,0.000333058,0.000333058
66,1749.87,1.09782,0.7887,1.0347,0.8348,0.67607,0.75545,0.44436,1.48722,1.05721,1.28735,0.000324058,0.000324058,0.000324058
67,1775.65,1.12118,0.79432,1.03951,0.80887,0.69765,0.76116,0.45596,1.4784,1.04362,1.27799,0.000315059,0.000315059,0.000315059
68,1801.32,1.11198,0.77665,1.03079,0.78432,0.69768,0.76095,0.45363,1.47318,1.05047,1.26522,0.00030606,0.00030606,0.00030606
69,1826.53,1.13817,0.80582,1.04921,0.83088,0.69282,0.77117,0.44976,1.46733,1.02782,1.28112,0.000297061,0.000297061,0.000297061
70,1852.34,1.08166,0.77016,1.02736,0.79237,0.72786,0.77703,0.45712,1.4694,1.03465,1.27842,0.000288062,0.000288062,0.000288062
71,1878.68,1.08377,0.76536,1.02819,0.82399,0.70278,0.7639,0.4492,1.49164,1.04801,1.29738,0.000279063,0.000279063,0.000279063
72,1906.36,1.11223,0.76459,1.03758,0.8144,0.70792,0.76684,0.4481,1.48137,1.03285,1.28884,0.000270064,0.000270064,0.000270064
73,1935.68,1.09896,0.76896,1.03013,0.80685,0.72752,0.7781,0.45505,1.49288,1.01286,1.28993,0.000261065,0.000261065,0.000261065
74,1963.23,1.09716,0.76445,1.01862,0.84225,0.72043,0.78075,0.46065,1.47126,1.02847,1.26402,0.000252066,0.000252066,0.000252066
75,1992.24,1.07054,0.74286,1.0232,0.82462,0.71804,0.77978,0.45625,1.46301,1.00488,1.2735,0.000243067,0.000243067,0.000243067
76,2024.31,1.06839,0.74351,1.02218,0.80513,0.72634,0.78053,0.45114,1.47323,1.01062,1.28345,0.000234068,0.000234068,0.000234068
77,2054.14,1.06034,0.72793,1.01804,0.81071,0.7233,0.77161,0.45114,1.46583,1.0154,1.27079,0.000225068,0.000225068,0.000225068
78,2083.69,1.03856,0.7301,1.00986,0.81036,0.71003,0.76792,0.44452,1.47601,1.04378,1.27408,0.000216069,0.000216069,0.000216069
79,2112.98,1.03786,0.72286,1.01317,0.83622,0.68272,0.75914,0.44243,1.48114,1.01999,1.29577,0.00020707,0.00020707,0.00020707
80,2190.47,1.06853,0.7354,1.01628,0.83457,0.69544,0.76422,0.44635,1.48043,1.02606,1.28866,0.000198071,0.000198071,0.000198071
81,2218.48,1.01654,0.72223,0.9994,0.81461,0.70819,0.76505,0.44885,1.48395,1.03265,1.29389,0.000189072,0.000189072,0.000189072
82,2245.53,1.04376,0.71764,1.00165,0.86377,0.72029,0.77675,0.45643,1.47329,1.01346,1.28186,0.000180073,0.000180073,0.000180073
83,2272.17,1.03771,0.71483,1.00739,0.81654,0.74047,0.77238,0.45643,1.47937,1.00557,1.29005,0.000171074,0.000171074,0.000171074
84,2299.11,1.03353,0.70934,1.00221,0.8233,0.72334,0.76872,0.45191,1.46711,1.00116,1.28692,0.000162075,0.000162075,0.000162075
85,2325.6,1.05197,0.71776,1.01253,0.83488,0.73699,0.78194,0.46371,1.45348,0.97726,1.27994,0.000153076,0.000153076,0.000153076
86,2351.97,1.04218,0.70989,1.01094,0.84384,0.73033,0.79096,0.46872,1.45436,0.97698,1.26817,0.000144077,0.000144077,0.000144077
87,2378.11,1.02491,0.71053,1.00239,0.85962,0.72459,0.78805,0.45462,1.4608,0.98372,1.26492,0.000135077,0.000135077,0.000135077
88,2405.04,1.01084,0.6851,0.9953,0.84382,0.72622,0.78627,0.46256,1.4562,0.99091,1.26938,0.000126078,0.000126078,0.000126078
89,2431.62,1.01752,0.70491,0.99813,0.83458,0.73382,0.78011,0.45492,1.46176,0.99262,1.27148,0.000117079,0.000117079,0.000117079
90,2458.62,1.02832,0.69141,1.00558,0.82575,0.72957,0.77918,0.45489,1.46152,0.993,1.27794,0.00010808,0.00010808,0.00010808
91,2488.67,0.97611,0.69638,0.97826,0.77316,0.72643,0.76881,0.45732,1.46642,1.02359,1.28229,9.9081e-05,9.9081e-05,9.9081e-05
92,2515.28,0.96584,0.66925,0.97631,0.82229,0.71263,0.77609,0.46388,1.46083,1.00924,1.28157,9.00819e-05,9.00819e-05,9.00819e-05
93,2541.91,0.95077,0.64241,0.96289,0.81024,0.73674,0.77579,0.4588,1.46762,0.99836,1.28238,8.10828e-05,8.10828e-05,8.10828e-05
94,2569.96,0.94643,0.63215,0.9632,0.80268,0.74239,0.76755,0.45414,1.47581,1.00773,1.28575,7.20837e-05,7.20837e-05,7.20837e-05
95,2595.96,0.94656,0.63359,0.96541,0.81027,0.73567,0.77014,0.45568,1.4671,1.00398,1.27909,6.30846e-05,6.30846e-05,6.30846e-05
96,2623.45,0.93323,0.62752,0.96128,0.8189,0.72457,0.78205,0.46055,1.46483,0.98647,1.2802,5.40855e-05,5.40855e-05,5.40855e-05
97,2660.1,0.93481,0.61887,0.95892,0.83914,0.72543,0.78388,0.46209,1.46556,0.98135,1.28134,4.50864e-05,4.50864e-05,4.50864e-05
98,2692.83,0.92828,0.61727,0.96175,0.84278,0.72978,0.78243,0.46375,1.45917,0.97665,1.279,3.60873e-05,3.60873e-05,3.60873e-05
99,2724.66,0.9237,0.61259,0.9648,0.85415,0.73301,0.78352,0.46156,1.46356,0.97743,1.28301,2.70882e-05,2.70882e-05,2.70882e-05
100,2757.97,0.92165,0.60763,0.95998,0.84453,0.73337,0.78333,0.46209,1.46189,0.97553,1.28086,1.80891e-05,1.80891e-05,1.80891e-05
